iter	RMSE
0	85.30738561
1	78.88463931
2	73.15242958
3	68.04201153
4	63.57478373
5	59.57409706
6	56.0291284
7	52.92993573
8	50.21316634
9	47.83921253
10	45.75837189
11	43.93090978
12	42.34250201
13	40.95300983
14	39.76305643
15	38.7434
16	37.81307876
17	37.03278533
18	36.33642015
19	35.74590225
20	35.24569598
21	34.77123231
22	34.38214421
23	34.02638418
24	33.72859882
25	33.447063
26	33.2104065
27	32.98561212
28	32.80496849
29	32.63520012
30	32.45773282
31	32.31726051
32	32.19093252
33	32.08145838
34	31.98010461
35	31.88735598
36	31.80784765
37	31.73564108
38	31.66840819
39	31.60793313
40	31.53588341
41	31.48421275
42	31.41775355
43	31.37366788
44	31.33370955
45	31.29441193
46	31.25518336
47	31.19445343
48	31.16284363
49	31.12840075
50	31.09290798
51	31.06139829
52	31.03398061
53	30.99622362
54	30.96518004
55	30.92742892
56	30.89425022
57	30.87449417
58	30.83799454
59	30.80200115
60	30.77246943
61	30.75209392
62	30.72356407
63	30.68127262
64	30.66554776
65	30.64078743
66	30.60404847
67	30.57776952
68	30.55962297
69	30.54666654
70	30.53125718
71	30.51602914
72	30.50099084
73	30.47637349
74	30.4604819
75	30.43852356
76	30.40763382
77	30.39080838
78	30.36985044
79	30.34380229
80	30.33307185
81	30.28963745
82	30.27330132
83	30.24527943
84	30.22053898
85	30.19683722
86	30.17239535
87	30.16317351
88	30.1492609
89	30.13651012
90	30.12657675
91	30.1032692
92	30.09574479
93	30.05059219
94	30.03371992
95	30.01206176
96	30.00560542
97	29.99189236
98	29.97980613
99	29.95889588
100	29.94573901
101	29.91814434
102	29.90479142
103	29.88847673
104	29.87868168
105	29.86182828
106	29.84988788
107	29.8385616
108	29.82475494
109	29.81687032
110	29.79731786
111	29.78104693
112	29.77046265
113	29.76333213
114	29.74570395
115	29.73422315
116	29.72239107
117	29.70838574
118	29.68663204
119	29.66840716
120	29.65802039
121	29.64969644
122	29.63941356
123	29.62717617
124	29.62061502
125	29.59990473
126	29.58509353
127	29.5788513
128	29.57018381
129	29.56385276
130	29.55406442
131	29.54398986
132	29.53333226
133	29.5254415
134	29.52116792
135	29.50418047
136	29.49363039
137	29.48633763
138	29.48095968
139	29.46508554
140	29.45122627
141	29.44260098
142	29.4322711
143	29.42505012
144	29.41266572
145	29.40537029
146	29.3930453
147	29.38670001
148	29.37610002
149	29.36471316
150	29.35779505
151	29.34020833
152	29.33196866
153	29.3269681
154	29.31766962
155	29.31018837
156	29.29923705
157	29.29183976
158	29.27538889
159	29.26630509
160	29.25693019
161	29.25049829
162	29.24163342
163	29.23345896
164	29.22686575
165	29.21914718
166	29.21079575
167	29.20745192
168	29.1976007
169	29.19371429
170	29.18338443
171	29.17831221
172	29.17052133
173	29.16334509
174	29.1557461
175	29.14344455
176	29.13219462
177	29.12313625
178	29.11314773
179	29.10544828
180	29.10112975
181	29.08963353
182	29.08231101
183	29.07381296
184	29.07014178
185	29.05949727
186	29.05294285
187	29.04499898
188	29.03624402
189	29.02947744
190	29.02270979
191	29.01404488
192	29.00674473
193	29.00308172
194	28.99318399
195	28.98400019
196	28.97841598
197	28.97300396
198	28.9622932
199	28.95497507
200	28.9462114
201	28.94174052
202	28.9362169
203	28.93268422
204	28.92750446
205	28.91829299
206	28.90970249
207	28.90340075
208	28.89728552
209	28.89033888
210	28.87937176
211	28.87464979
212	28.86799668
