iter	Passed	Remaining
0	130	65170
1	243	60624
2	358	59439
3	476	59119
4	587	58124
5	698	57479
6	809	57005
7	915	56303
8	1024	55914
9	1135	55657
10	1235	54941
11	1342	54606
12	1453	54445
13	1562	54257
14	1671	54054
15	1785	54022
16	1895	53841
17	2010	53833
18	2118	53625
19	2233	53614
20	2345	53490
21	2458	53426
22	2573	53378
23	2686	53283
24	2793	53083
25	2899	52859
26	3004	52629
27	3121	52623
28	3228	52441
29	3337	52293
30	3441	52066
31	3548	51890
32	3660	51797
33	3775	51744
34	3889	51680
35	4008	51661
36	4118	51537
37	4224	51358
38	4334	51232
39	4448	51155
40	4557	51017
41	4670	50927
42	4783	50843
43	4898	50763
44	4993	50492
45	5110	50442
46	5218	50298
47	5329	50182
48	5469	50340
49	5576	50191
50	5697	50162
51	5810	50056
52	5912	49865
53	6018	49704
54	6125	49560
55	6236	49450
56	6347	49328
57	6458	49221
58	6570	49113
59	6677	48965
60	6795	48904
61	6905	48784
62	7016	48671
63	7119	48502
64	7233	48408
65	7336	48241
66	7443	48107
67	7565	48063
68	7673	47929
69	7784	47817
70	7896	47712
71	8002	47570
72	8109	47437
73	8222	47336
74	8345	47291
75	8445	47118
76	8547	46955
77	8656	46832
78	8771	46745
79	8889	46670
80	9006	46590
81	9120	46494
82	9231	46381
83	9340	46257
84	9448	46129
85	9557	46010
86	9671	45913
87	9785	45813
88	9898	45711
89	10015	45628
90	10129	45527
91	10234	45389
92	10352	45304
93	10464	45198
94	10573	45077
95	10682	44956
96	10803	44885
97	10897	44702
98	11014	44613
99	11123	44494
100	11241	44410
101	11354	44304
102	11457	44162
103	11566	44041
104	11688	43969
105	11802	43868
106	11917	43770
107	12018	43622
108	12131	43516
109	12231	43365
110	12332	43219
111	12444	43109
112	12550	42982
113	12651	42835
114	12782	42792
115	12892	42677
116	12996	42543
117	13105	42424
118	13215	42312
119	13327	42204
120	13447	42120
121	13558	42008
122	13674	41914
123	13791	41819
124	13920	41760
125	14025	41632
126	14142	41537
127	14249	41411
128	14360	41299
129	14465	41172
130	14578	41064
131	14691	40959
132	14804	40852
133	14914	40735
134	15019	40609
135	15126	40484
136	15239	40380
137	15359	40290
138	15462	40158
139	15566	40027
140	15686	39939
141	15799	39833
142	15911	39724
143	16026	39622
144	16130	39491
145	16230	39352
146	16333	39222
147	16441	39103
148	16550	38989
149	16663	38882
150	16781	38786
151	16901	38694
152	17020	38602
153	17122	38470
154	17242	38378
